rank,organisation,location,cqc_location_id,cqc_provider_id,local_authority,region,postcode,service_types,number_of_beds,current_rating,primary_signal,most_recent_event_date,opportunity_score,reason,evidence_events,cqc_record_url
11,Care Quality Services Limited,Rosebrook Court,1-23934108572,1-6129891850,Southampton,South East,SO18 4HS,Extra Care housing services,,,New CQC registration,2025-07-14,48.0,"Newly registered with CQC on 14 Jul 2025 (extra care housing services, non-bed-based) about 7 months ago. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet. The provider behind this location has 2 locations moving in Southampton in this window, so it is an account-level opportunity, not a one-off.",new_registration 2025-07-14,https://api.service.cqc.org.uk/public/v1/locations/1-23934108572
12,Mr Ioannis Paraschos,Shirley Health Centre,1-19060248008,1-18849302253,Southampton,South East,SO15 3UA,Dental service,,No published rating,New CQC registration,2025-04-09,48.0,"Re-registered with CQC on 09 Apr 2025 (dental service, non-bed-based) about 10 months ago. A new legal entity or owner has taken on an existing service in Southampton - a natural point to review incumbent suppliers. It carries an inherited overall rating of No published rating.",new_registration 2025-04-09,https://api.service.cqc.org.uk/public/v1/locations/1-19060248008
13,TM Sainani Ltd,The Shirley Road Dental Practice,1-21523423765,1-20629001595,Southampton,South East,SO15 3FD,Dental service,,Inspected but not rated,New CQC registration,2025-02-25,48.0,"Re-registered with CQC on 25 Feb 2025 (dental service, non-bed-based) about 11 months ago. A new legal entity or owner has taken on an existing service in Southampton - a natural point to review incumbent suppliers. It carries an inherited overall rating of Inspected but not rated.",new_registration 2025-02-25,https://api.service.cqc.org.uk/public/v1/locations/1-21523423765
14,Holmhurst Care Homes Limited,Holmhurst Care Home,1-22652290631,1-133259171,Southampton,South East,SO17 1DP,Care home service without nursing,15,,New CQC registration,2025-04-14,44.5,"Newly registered with CQC on 14 Apr 2025 (care home service without nursing, 15 beds) about 10 months ago. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2025-04-14,https://api.service.cqc.org.uk/public/v1/locations/1-22652290631
15,Hampshire Dentists Ltd,Hampshire Dentists,1-25376951805,1-191583540,Southampton,South East,SO15 2EZ,Dental service,,,New CQC registration,2025-11-02,44.1,"Newly registered with CQC on 02 Nov 2025 (dental service, non-bed-based) within the last four months. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2025-11-02,https://api.service.cqc.org.uk/public/v1/locations/1-25376951805
16,Triple Care Healthcare Services Limited,Triple Care Healthcare Services,1-25390800875,1-2551803100,Southampton,South East,SO16 7DP,Domiciliary care service,,,New CQC registration,2025-10-28,44.1,"Newly registered with CQC on 28 Oct 2025 (domiciliary care service, non-bed-based) within the last four months. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2025-10-28,https://api.service.cqc.org.uk/public/v1/locations/1-25390800875
17,Blossoms Trading Limited,Blossoms Trading Ltd (Trading as Clarity Homecare),1-25340540349,1-5315054412,Southampton,South East,SO15 2BG,Domiciliary care service; Supported living service,,,New CQC registration,2025-10-23,44.1,"Newly registered with CQC on 23 Oct 2025 (domiciliary care service, non-bed-based) within the last four months. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2025-10-23,https://api.service.cqc.org.uk/public/v1/locations/1-25340540349
18,Wellspring Recruitment and Care Services Limited,Wellspring Recruitment and Care services Limited,1-25288876413,1-507928184,Southampton,South East,SO15 2BG,Domiciliary care service; Supported living service,,,New CQC registration,2025-10-20,44.1,"Newly registered with CQC on 20 Oct 2025 (domiciliary care service, non-bed-based) about 4 months ago. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2025-10-20,https://api.service.cqc.org.uk/public/v1/locations/1-25288876413
19,Midshires Care Limited,Helping Hands West Quay,1-25072877936,1-101671690,Southampton,South East,SO14 3JZ,Domiciliary care service,,,New CQC registration,2025-10-01,44.1,"Newly registered with CQC on 01 Oct 2025 (domiciliary care service, non-bed-based) about 4 months ago. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2025-10-01,https://api.service.cqc.org.uk/public/v1/locations/1-25072877936
20,Fabs Domiciliary Homecare Ltd,Fabs Domiciliary Homecare Ltd,1-24766596957,1-4936512862,Southampton,South East,SO15 2BG,Domiciliary care service; Supported living service,,,New CQC registration,2025-09-25,44.1,"Newly registered with CQC on 25 Sep 2025 (domiciliary care service, non-bed-based) about 4 months ago. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2025-09-25,https://api.service.cqc.org.uk/public/v1/locations/1-24766596957
21,FocusPath Ltd,FocusPath Clinic,1-24231918879,1-22875592777,Southampton,South East,SO15 2BG,Doctors consultation service,,,New CQC registration,2025-09-05,44.1,"Newly registered with CQC on 05 Sep 2025 (doctors consultation service, non-bed-based) about 5 months ago. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2025-09-05,https://api.service.cqc.org.uk/public/v1/locations/1-24231918879
22,Southampton Primary Care Limited,Shirley Health Partnership,1-24407305737,1-2456477856,Southampton,South East,SO15 3JD,Doctors treatment service,,,New CQC registration,2025-09-04,44.1,"Newly registered with CQC on 04 Sep 2025 (doctors treatment service, non-bed-based) about 5 months ago. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2025-09-04,https://api.service.cqc.org.uk/public/v1/locations/1-24407305737
23,Dr Mohammed Ahmed Abdel Latif Al-Gholmy,University Dental Practice,1-23378937084,1-22910009947,Southampton,South East,SO16 3AY,Dental service,,,New CQC registration,2025-09-01,44.1,"Newly registered with CQC on 01 Sep 2025 (dental service, non-bed-based) about 5 months ago. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2025-09-01,https://api.service.cqc.org.uk/public/v1/locations/1-23378937084
24,Chessel Support Services Ltd,Langdown House,1-23871232254,1-101663792,Southampton,South East,SO19 8NJ,Care home service without nursing,7,,New CQC registration,2025-07-24,43.17,"Newly registered with CQC on 24 Jul 2025 (care home service without nursing, 7 beds) about 6 months ago. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2025-07-24,https://api.service.cqc.org.uk/public/v1/locations/1-23871232254
25,Brighter Smile Dental Surgery Ltd,Brighter Smile Dental Surgery Ltd,1-23849860137,1-23502188690,Southampton,South East,SO16 7AP,Dental service,,,New CQC registration,2025-08-11,42.0,"Newly registered with CQC on 11 Aug 2025 (dental service, non-bed-based) about 6 months ago. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2025-08-11,https://api.service.cqc.org.uk/public/v1/locations/1-23849860137
26,Southampton West PCN Limited,Shirley Health Partnership,1-24234145467,1-20634198045,Southampton,South East,SO15 3JD,Community healthcare service,,,New CQC registration,2025-07-31,42.0,"Newly registered with CQC on 31 Jul 2025 (community healthcare service, non-bed-based) about 6 months ago. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2025-07-31,https://api.service.cqc.org.uk/public/v1/locations/1-24234145467
27,Carers' Hands H C A Ltd,CARERS’ HANDS HCA LTD,1-23870876925,1-9597438119,Southampton,South East,SO15 2EX,Domiciliary care service,,,New CQC registration,2025-07-03,42.0,"Newly registered with CQC on 03 Jul 2025 (domiciliary care service, non-bed-based) about 7 months ago. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2025-07-03,https://api.service.cqc.org.uk/public/v1/locations/1-23870876925
28,Health Now Limited,Cumberland House,1-23859437807,1-18679174333,Southampton,South East,SO15 2BG,Community healthcare service,,,New CQC registration,2025-07-02,42.0,"Newly registered with CQC on 02 Jul 2025 (community healthcare service, non-bed-based) about 7 months ago. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2025-07-02,https://api.service.cqc.org.uk/public/v1/locations/1-23859437807
29,Holistic Recruiters Limited,Emey Care Southampton,1-23660148035,1-8416884721,Southampton,South East,SO15 2BG,Domiciliary care service,,,New CQC registration,2025-06-20,42.0,"Newly registered with CQC on 20 Jun 2025 (domiciliary care service, non-bed-based) about 8 months ago. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2025-06-20,https://api.service.cqc.org.uk/public/v1/locations/1-23660148035
30,TRF Healthcare Ltd,TRF,1-23499468652,1-18997038968,Southampton,South East,SO14 6TE,Domiciliary care service,,,New CQC registration,2025-06-06,42.0,"Newly registered with CQC on 06 Jun 2025 (domiciliary care service, non-bed-based) about 8 months ago. A first-time operator in Southampton with no incumbent supplier relationships and no inspection history yet.",new_registration 2025-06-06,https://api.service.cqc.org.uk/public/v1/locations/1-23499468652
