review_order,review_route,provider_name,provider_id,representative_location,location_id,authorities,local_locations,england_domiciliary_locations,service_mix,published_fact,reason_for_review,qualification_question,uncertainty,cqc_url,all_local_location_ids,source_edition,web_check_date,web_check_result
11,Coordinate local locations,IHI Care Services Limited,1-169108875,IHI Care Services (South Birmingham),1-15550434100,Birmingham,2,2,Domiciliary care,2 non-dormant domiciliary locations in Birmingham share this provider ID; 2 appear across England.,Assign one account owner to review IHI Care Services Limited across these 2 local locations before splitting research by branch.,"For IHI Care Services (South Birmingham) and the other local locations, is supplier selection handled by the provider or each location?","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-15550434100,1-15550434100; 1-356657455,2026-09-01,2026-09-08,MATCH
12,Coordinate local locations,NDH Care Ltd,1-1983604499,NDH Care (LEICESTER),1-10437669514,Birmingham,2,3,Domiciliary care + supported living,2 non-dormant domiciliary locations in Birmingham share this provider ID; 3 appear across England.,Assign one account owner to review NDH Care Ltd across these 2 local locations before splitting research by branch.,"For NDH Care (LEICESTER) and the other local locations, is supplier selection handled by the provider or each location? Confirm whether separate supported-living and homecare staffing arrangements apply.","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-10437669514,1-10437669514; 1-2054699466,2026-09-01,2026-09-08,MATCH
13,Coordinate local locations,Omnia Support Limited,1-130858161,Omnia Support Limited (Solihull),1-25605647286,"Birmingham, Solihull",2,2,Domiciliary care,"2 non-dormant domiciliary locations in Birmingham, Solihull share this provider ID; 2 appear across England.",Assign one account owner to review Omnia Support Limited across these 2 local locations before splitting research by branch.,"For Omnia Support Limited (Solihull) and the other local locations, is supplier selection handled by the provider or each location?","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-25605647286,1-25605647286; 1-13059199589,2026-09-01,2026-09-08,MATCH
14,Coordinate local locations,Pharos Care Limited,1-101649312,Pharos Supported Services Central,1-25872774764,Birmingham,2,3,Domiciliary care + supported living,2 non-dormant domiciliary locations in Birmingham share this provider ID; 3 appear across England.,Assign one account owner to review Pharos Care Limited across these 2 local locations before splitting research by branch.,"For Pharos Supported Services Central and the other local locations, is supplier selection handled by the provider or each location? Confirm whether separate supported-living and homecare staffing arrangements apply.","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-25872774764,1-25872774764; 1-588159967,2026-09-01,2026-09-08,MATCH
15,Coordinate local locations,The Care Workshop Limited,1-1300968947,The Care Workshop Limited,1-15152271370,Birmingham,2,3,Domiciliary care + supported living,2 non-dormant domiciliary locations in Birmingham share this provider ID; 3 appear across England.,Assign one account owner to review The Care Workshop Limited across these 2 local locations before splitting research by branch.,"For The Care Workshop Limited and the other local locations, is supplier selection handled by the provider or each location? Confirm whether separate supported-living and homecare staffing arrangements apply.","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-15152271370,1-15152271370; 1-12105708891,2026-09-01,2026-09-08,MATCH
16,Review recent registration,Oria Care Ltd,1-17971680520,Oria Care Ltd,1-29000938515,Birmingham,1,2,Domiciliary care,Oria Care Ltd in Birmingham records a registration date of 2026-07-27; 2 domiciliary location(s) share this provider ID across England.,Check whether Oria Care Ltd belongs in the buyer's account list and whether the published service mix fits the buyer's staffing specialisms.,"Is Oria Care Ltd operating the listed service mix, and how does it source its workforce?","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-29000938515,1-29000938515,2026-09-01,2026-09-08,MATCH
17,Review recent registration,Synergy Support Services Ltd,1-12035758345,Synergy Support Services Ltd,1-27510111922,Birmingham,1,1,Domiciliary care + supported living,Synergy Support Services Ltd in Birmingham records a registration date of 2026-04-02; 1 domiciliary location(s) share this provider ID across England.,Check whether Synergy Support Services Ltd belongs in the buyer's account list and whether the published service mix fits the buyer's staffing specialisms.,"Is Synergy Support Services Ltd operating the listed service mix, and how does it source its workforce? Confirm whether separate supported-living and homecare staffing arrangements apply.","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-27510111922,1-27510111922,2026-09-01,2026-09-08,MATCH
18,Review recent registration,All Round Care Solutions Limited,1-15524986643,All Round Care Solutions Limited,1-27481819229,Birmingham,1,1,Domiciliary care,All Round Care Solutions Limited in Birmingham records a registration date of 2026-03-31; 1 domiciliary location(s) share this provider ID across England.,Check whether All Round Care Solutions Limited belongs in the buyer's account list and whether the published service mix fits the buyer's staffing specialisms.,"Is All Round Care Solutions Limited operating the listed service mix, and how does it source its workforce?","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-27481819229,1-27481819229,2026-09-01,2026-09-08,MATCH
19,Review recent registration,Luxuricare Ltd,1-25072827933,Luxuricare Ltd,1-27095662090,Birmingham,1,1,Domiciliary care,Luxuricare Ltd in Birmingham records a registration date of 2026-03-16; 1 domiciliary location(s) share this provider ID across England.,Check whether Luxuricare Ltd belongs in the buyer's account list and whether the published service mix fits the buyer's staffing specialisms.,"Is Luxuricare Ltd operating the listed service mix, and how does it source its workforce?","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-27095662090,1-27095662090,2026-09-01,2026-09-08,MATCH
20,Review recent registration,Clear Choice Care Solutions Limited,1-18822112432,Clear Choice Care Solutions Limited,1-27000963245,Birmingham,1,1,Domiciliary care + supported living,Clear Choice Care Solutions Limited in Birmingham records a registration date of 2026-02-26; 1 domiciliary location(s) share this provider ID across England.,Check whether Clear Choice Care Solutions Limited belongs in the buyer's account list and whether the published service mix fits the buyer's staffing specialisms.,"Is Clear Choice Care Solutions Limited operating the listed service mix, and how does it source its workforce? Confirm whether separate supported-living and homecare staffing arrangements apply.","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-27000963245,1-27000963245,2026-09-01,2026-09-08,MATCH
21,Review recent registration,Baldwins Care Ltd,1-25474360399,Baldwins Care Ltd,1-26963512859,Birmingham,1,1,Domiciliary care,Baldwins Care Ltd in Birmingham records a registration date of 2026-02-20; 1 domiciliary location(s) share this provider ID across England.,Check whether Baldwins Care Ltd belongs in the buyer's account list and whether the published service mix fits the buyer's staffing specialisms.,"Is Baldwins Care Ltd operating the listed service mix, and how does it source its workforce?","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-26963512859,1-26963512859,2026-09-01,2026-09-08,MATCH
22,Review recent registration,Express Nursing Limited,1-23303668656,Express Care at Home,1-26682155005,Birmingham,1,1,Domiciliary care,Express Care at Home in Birmingham records a registration date of 2026-01-30; 1 domiciliary location(s) share this provider ID across England.,Check whether Express Care at Home belongs in the buyer's account list and whether the published service mix fits the buyer's staffing specialisms.,"Is Express Care at Home operating the listed service mix, and how does it source its workforce?","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-26682155005,1-26682155005,2026-09-01,2026-09-08,MATCH
23,Review recent registration,Square Routes Care Ltd,1-18878434807,Square Routes Care Ltd,1-26602914843,Birmingham,1,1,Domiciliary care,Square Routes Care Ltd in Birmingham records a registration date of 2026-01-26; 1 domiciliary location(s) share this provider ID across England.,Check whether Square Routes Care Ltd belongs in the buyer's account list and whether the published service mix fits the buyer's staffing specialisms.,"Is Square Routes Care Ltd operating the listed service mix, and how does it source its workforce?","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-26602914843,1-26602914843,2026-09-01,2026-09-08,MATCH
24,Review recent registration,MJ Assessments Ltd,1-20632975207,MJ Assessments Supported Housing,1-24208834549,Birmingham,1,1,Domiciliary care + supported living,MJ Assessments Supported Housing in Birmingham records a registration date of 2026-01-20; 1 domiciliary location(s) share this provider ID across England.,Check whether MJ Assessments Supported Housing belongs in the buyer's account list and whether the published service mix fits the buyer's staffing specialisms.,"Is MJ Assessments Supported Housing operating the listed service mix, and how does it source its workforce? Confirm whether separate supported-living and homecare staffing arrangements apply.","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-24208834549,1-24208834549,2026-09-01,2026-09-08,MATCH
25,Review recent registration,Starlight Support Services Ltd,1-4011445850,Starlight Support Services Ltd,1-26103753760,Birmingham,1,3,Domiciliary care + supported living,Starlight Support Services Ltd in Birmingham records a registration date of 2025-12-18; 3 domiciliary location(s) share this provider ID across England.,Check whether Starlight Support Services Ltd belongs in the buyer's account list and whether the published service mix fits the buyer's staffing specialisms.,"Is Starlight Support Services Ltd operating the listed service mix, and how does it source its workforce? Confirm whether separate supported-living and homecare staffing arrangements apply.","No vacancy, staffing shortage, purchasing budget or buying intent is established. Source updates may lag.",https://www.cqc.org.uk/location/1-26103753760,1-26103753760,2026-09-01,2026-09-08,MATCH
